OBJECTID,Linear_Distance_km_,Latitude,Longitude,HS,UCL,LCL,Resistencia,Distancia_area,porcen_cobertura,Dist_rios,Dist_corred,Altitud,NDVI,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_1,HOTSP
215,8.847,5.77806714,-75.64947653,-0.050017,5.721147,-4.85932,347.5058,10391.0303,72,0,9818.4541,610,0.542398989,0.095112666,0.083303899,0.060803294,0.311358869,0.184174091,296.5016785,296.6955566,0.067601413,0.174889743,2,0
216,8.888,5.778380861,-75.64967551,-0.036551,4.772777,-5.807745,331.7738,10392.1445,58,0,9731.0322,621,0.407207996,0.095239751,0.083012588,0.059286676,0.295808315,0.174344137,296.5016785,296.5547791,0.069600627,0.171559334,2,0
217,8.93,5.778693361,-75.6498757,-0.019239,5.752508,-4.829029,324.9822,10393.3252,52,0,9731.0322,621,0.258578986,0.095489703,0.083329432,0.061610773,0.29158935,0.167251885,297.0091248,296.5547791,0.070380621,0.164784491,2,0
218,8.971,5.779008302,-75.65007468,-0.023091,5.74974,-5.795923,342.0443,10394.8818,52,92.6723,9730.1494,608,0.47329399,0.09691412,0.084932297,0.061748825,0.310122073,0.186748415,296.5016785,296.5547791,0.075314447,0.176796004,2,0
219,9.012,5.779319581,-75.65027609,-0.015396,5.757972,-5.788763,382.271,10396.084,38,92.6723,9675.2715,608,0.506226003,0.097998776,0.087102599,0.06613446,0.298906237,0.193770289,296.5016785,296.2725525,0.080580629,0.175617114,2,0
220,9.053,5.779608888,-75.6505007,0.001924,5.773857,-5.770009,344.227,10394.0586,15,92.6723,9675.2715,613,0.402485996,0.099619612,0.089686476,0.068488933,0.298881114,0.203960389,297.5144653,297.3974915,0.081586026,0.175149605,2,0
221,9.094,5.779761476,-75.65084006,-0.023066,5.743519,-5.789652,325.0845,10372.9443,27,92.6723,9675.2715,613,0.279933989,0.099695459,0.087940291,0.069397815,0.289011598,0.185484171,296.7554016,296.6955566,0.077622145,0.167210191,2,0
222,9.136,5.779915285,-75.65117942,-0.038413,5.723563,-5.800389,330.7144,10351.9668,28,92.6723,9613.8291,613,0.492778987,0.098111108,0.086528502,0.065571427,0.283127457,0.169864595,296.5016785,296.5547791,0.069073409,0.172358364,2,0
223,9.177,5.780067872,-75.65151877,-0.072951,5.686369,-4.872385,338.1628,10331.0801,54,92.6723,9586.5449,618,0.62500298,0.10249345,0.089445151,0.073274113,0.252787977,0.166353092,297.0091248,297.117218,0.076024979,0.151930943,2,0
224,9.218,5.780221681,-75.65185813,0.905909,5.704159,-4.85199,341.7987,10310.4092,2,0,9497.8936,618,0.691555023,0.101548493,0.091623515,0.073316172,0.249880403,0.168354839,297.0091248,296.8363342,0.077723719,0.170547724,2,0
225,9.259,5.780493898,-75.65206809,0.903541,5.699403,-4.851495,338.17,10309.2666,0,0,9497.8936,602,0.702211976,0.101225935,0.086269662,0.070039615,0.259040117,0.169238359,296.5006104,296.6955566,0.071562514,0.158451885,2,0
226,9.301,5.780856447,-75.65211936,0.887888,5.671766,-4.852766,346.9295,10328.3926,45,0,9471.1816,618,0.660368979,0.099561237,0.086004175,0.067450918,0.259354591,0.149430037,295.9920959,296.2725525,0.063994601,0.15241316,2,0
227,9.342,5.78122754,-75.65211936,0.842361,5.617652,-4.887987,353.9387,10352.8701,34,0,9471.1816,618,0.510923028,0.097280599,0.086337388,0.067240655,0.256238699,0.168605477,296.5016785,296.5544434,0.073270626,0.160846367,2,0
228,9.383,5.781598634,-75.65211936,1.717616,5.534541,-4.962002,356.0598,10377.4023,41,92.6723,9471.1816,616,0.42186901,0.099955231,0.093025468,0.072752036,0.265942335,0.175718859,297.5144653,297.117218,0.077765115,0.163876623,2,0
229,9.424,5.781969728,-75.65211936,2.667409,5.529436,-4.964663,358.4619,10402.0586,19,92.6723,9445.3027,616,0.348966986,0.098348901,0.088317543,0.067282721,0.271140814,0.174027026,296.7554016,296.6955566,0.07201983,0.165221781,2,0
230,9.466,5.782295656,-75.65228415,4.547677,5.501868,-4.994238,362.3002,10409.1758,35,185.3446,9445.3027,617,0.358738005,0.097507872,0.08834026,0.068952926,0.269728154,0.174773499,296.5016785,296.5547791,0.074318647,0.165670395,2,0
